resource_id,resource_name,resource_type,region,metadata,Environment,Project,Owner
res-144,Lambda-144,CloudWatch,us-east-1,Metadata info 144,,Avengers,Banner
res-145,CloudFront-145,DynamoDB,eu-west-1,Metadata info 145,Prod,Hydra,Castle
res-146,DynamoDB-146,CloudFront,us-east-1,Metadata info 146,Prod,SHIELD,Stark
res-147,DynamoDB-147,CloudWatch,us-east-1,Metadata info 147,Prod,Hydra,Banner
res-148,S3-148,DynamoDB,ap-southeast-1,Metadata info 148,Test,Avengers,Danvers
res-149,RDS-149,CloudWatch,us-west-2,Metadata info 149,Prod,Hydra,Stark
res-150,CloudWatch-150,CloudWatch,eu-west-1,Metadata info 150,Prod,,
res-151,RDS-151,CloudFront,ap-southeast-1,Metadata info 151,Test,Hydra,Stark
res-152,EC2-152,ECS,eu-west-1,Metadata info 152,Test,,Murdock
res-153,RDS-153,S3,us-east-1,Metadata info 153,Test,SHIELD,Murdock
res-154,Lambda-154,ECS,us-west-2,Metadata info 154,,SHIELD,Danvers
res-155,Lambda-155,CloudFront,us-east-1,Metadata info 155,,SHIELD,Banner
res-156,DynamoDB-156,RDS,eu-west-1,Metadata info 156,Dev,Avengers,Castle
res-157,EC2-157,Lambda,ap-southeast-1,Metadata info 157,Test,Avengers,Castle
res-158,S3-158,S3,eu-west-1,Metadata info 158,,Hydra,Murdock
res-159,Lambda-159,EC2,eu-west-1,Metadata info 159,Dev,Hydra,Castle
res-160,CloudWatch-160,CloudFront,eu-west-1,Metadata info 160,Test,SHIELD,Murdock
res-161,DynamoDB-161,S3,us-east-1,Metadata info 161,,SHIELD,
res-162,CloudFront-162,DynamoDB,us-west-2,Metadata info 162,Test,SHIELD,Stark
res-163,RDS-163,ECS,eu-west-1,Metadata info 163,Test,Hydra,Danvers
res-164,RDS-164,ECS,ap-southeast-1,Metadata info 164,Prod,Starforce,Danvers
res-165,RDS-165,ECS,us-east-1,Metadata info 165,,SHIELD,Murdock
res-166,EC2-166,DynamoDB,us-west-2,Metadata info 166,Dev,Avengers,Castle
res-167,ECS-167,DynamoDB,us-east-1,Metadata info 167,,Hydra,Murdock
res-168,EC2-168,CloudFront,eu-west-1,Metadata info 168,Dev,SHIELD,Stark
res-169,CloudWatch-169,CloudFront,us-east-1,Metadata info 169,,Starforce,Banner
res-170,EC2-170,EC2,us-east-1,Metadata info 170,,SHIELD,Danvers
res-171,Lambda-171,DynamoDB,ap-southeast-1,Metadata info 171,Prod,,Murdock
res-172,CloudFront-172,RDS,ap-southeast-1,Metadata info 172,,Hydra,Danvers
res-173,EC2-173,Lambda,us-east-1,Metadata info 173,Test,SHIELD,Danvers
res-174,RDS-174,EC2,ap-southeast-1,Metadata info 174,Dev,SHIELD,Stark
res-175,RDS-175,Lambda,ap-southeast-1,Metadata info 175,Test,Avengers,Banner
res-176,CloudFront-176,CloudFront,us-east-1,Metadata info 176,Dev,Avengers,Castle
res-177,S3-177,CloudWatch,ap-southeast-1,Metadata info 177,Prod,SHIELD,Danvers
res-178,Lambda-178,CloudWatch,ap-southeast-1,Metadata info 178,Test,,Stark
res-179,EC2-179,CloudWatch,us-east-1,Metadata info 179,Prod,Hydra,Danvers
res-180,S3-180,RDS,us-west-2,Metadata info 180,,Hydra,Castle
res-181,DynamoDB-181,CloudFront,us-west-2,Metadata info 181,,Hydra,
res-182,S3-182,EC2,eu-west-1,Metadata info 182,,Starforce,Stark
res-183,CloudFront-183,Lambda,ap-southeast-1,Metadata info 183,Dev,Avengers,Castle
res-184,CloudWatch-184,ECS,us-west-2,Metadata info 184,Dev,Hydra,Murdock
res-185,CloudWatch-185,CloudFront,us-west-2,Metadata info 185,Dev,Hydra,Stark
res-186,CloudFront-186,EC2,us-west-2,Metadata info 186,Dev,SHIELD,Stark
res-187,ECS-187,DynamoDB,eu-west-1,Metadata info 187,Prod,,Banner
res-188,DynamoDB-188,EC2,eu-west-1,Metadata info 188,,Avengers,Banner
res-189,CloudWatch-189,ECS,eu-west-1,Metadata info 189,,Avengers,Murdock
res-190,CloudWatch-190,RDS,us-east-1,Metadata info 190,,Avengers,Danvers
res-191,Lambda-191,S3,eu-west-1,Metadata info 191,Test,Hydra,Danvers
res-192,S3-192,S3,eu-west-1,Metadata info 192,,Hydra,
res-193,S3-193,EC2,eu-west-1,Metadata info 193,Prod,SHIELD,Stark
res-194,CloudWatch-194,DynamoDB,eu-west-1,Metadata info 194,Test,Avengers,Castle
res-195,CloudFront-195,CloudFront,us-west-2,Metadata info 195,Prod,Hydra,Danvers
res-196,S3-196,DynamoDB,us-east-1,Metadata info 196,Prod,SHIELD,Castle
res-197,EC2-197,CloudFront,eu-west-1,Metadata info 197,,Avengers,Murdock
res-198,CloudFront-198,ECS,eu-west-1,Metadata info 198,Prod,Avengers,Castle
res-199,DynamoDB-199,RDS,ap-southeast-1,Metadata info 199,Prod,SHIELD,Banner
res-200,CloudFront-200,EC2,eu-west-1,Metadata info 200,Test,Avengers,Stark
res-201,EC2-201,RDS,eu-west-1,Metadata info 201,Dev,Starforce,
res-202,DynamoDB-202,ECS,ap-southeast-1,Metadata info 202,Test,SHIELD,
res-203,CloudFront-203,Lambda,us-east-1,Metadata info 203,Prod,Starforce,Danvers
res-204,Lambda-204,Lambda,us-west-2,Metadata info 204,Dev,Hydra,Danvers
res-205,Lambda-205,RDS,us-east-1,Metadata info 205,,Starforce,Castle
res-206,ECS-206,CloudWatch,us-east-1,Metadata info 206,Dev,Hydra,Murdock
res-207,CloudFront-207,DynamoDB,us-east-1,Metadata info 207,Dev,Avengers,Banner
res-208,EC2-208,RDS,us-east-1,Metadata info 208,Prod,Avengers,Stark
res-209,RDS-209,ECS,us-east-1,Metadata info 209,,Starforce,Murdock
res-210,S3-210,Lambda,us-west-2,Metadata info 210,Dev,Starforce,Banner
res-211,Lambda-211,ECS,us-west-2,Metadata info 211,,,Murdock
res-212,CloudFront-212,EC2,us-west-2,Metadata info 212,Dev,SHIELD,Stark
res-213,RDS-213,CloudWatch,ap-southeast-1,Metadata info 213,,Starforce,
res-214,ECS-214,DynamoDB,us-east-1,Metadata info 214,Prod,,Stark
res-215,CloudWatch-215,EC2,eu-west-1,Metadata info 215,Dev,,Stark
res-216,RDS-216,EC2,us-east-1,Metadata info 216,Dev,SHIELD,Murdock
res-217,EC2-217,EC2,us-east-1,Metadata info 217,Prod,Hydra,Banner
res-218,S3-218,DynamoDB,eu-west-1,Metadata info 218,Dev,SHIELD,Murdock
res-219,S3-219,RDS,eu-west-1,Metadata info 219,Test,Avengers,Danvers
res-220,Lambda-220,S3,us-west-2,Metadata info 220,Prod,Hydra,
res-221,CloudWatch-221,CloudWatch,us-east-1,Metadata info 221,Dev,,Stark
res-222,CloudFront-222,Lambda,us-west-2,Metadata info 222,Dev,,Murdock
res-223,DynamoDB-223,ECS,us-west-2,Metadata info 223,Prod,Hydra,
res-224,CloudFront-224,S3,us-west-2,Metadata info 224,Test,Starforce,
res-225,EC2-225,Lambda,ap-southeast-1,Metadata info 225,Prod,Hydra,Banner
res-226,S3-226,Lambda,us-west-2,Metadata info 226,,SHIELD,Danvers
res-227,RDS-227,RDS,eu-west-1,Metadata info 227,Dev,SHIELD,Banner
res-228,ECS-228,Lambda,eu-west-1,Metadata info 228,Test,Avengers,Murdock
res-229,EC2-229,Lambda,ap-southeast-1,Metadata info 229,,Hydra,Banner
res-230,Lambda-230,DynamoDB,us-west-2,Metadata info 230,Prod,SHIELD,Murdock
res-231,S3-231,ECS,eu-west-1,Metadata info 231,Prod,Avengers,Stark
res-232,ECS-232,ECS,ap-southeast-1,Metadata info 232,Test,Avengers,Castle
res-233,EC2-233,CloudFront,us-west-2,Metadata info 233,Dev,Starforce,Stark
res-234,DynamoDB-234,S3,us-east-1,Metadata info 234,Test,Hydra,Castle
res-235,Lambda-235,Lambda,us-west-2,Metadata info 235,,Avengers,Stark
res-236,S3-236,Lambda,eu-west-1,Metadata info 236,,Hydra,Banner
res-237,Lambda-237,DynamoDB,us-west-2,Metadata info 237,Prod,Hydra,Murdock
res-238,EC2-238,CloudWatch,us-west-2,Metadata info 238,Prod,Hydra,Castle
res-239,Lambda-239,CloudWatch,eu-west-1,Metadata info 239,Test,Starforce,Murdock
res-240,S3-240,S3,eu-west-1,Metadata info 240,Prod,Starforce,Stark
res-241,ECS-241,Lambda,eu-west-1,Metadata info 241,Test,SHIELD,Stark
res-242,Lambda-242,ECS,ap-southeast-1,Metadata info 242,Test,Starforce,Danvers
res-243,CloudWatch-243,ECS,eu-west-1,Metadata info 243,,Starforce,Banner
res-244,EC2-244,Lambda,us-east-1,Metadata info 244,Test,,
res-245,S3-245,Lambda,us-west-2,Metadata info 245,Dev,Starforce,Stark
res-246,EC2-246,Lambda,ap-southeast-1,Metadata info 246,Prod,Avengers,Danvers
res-247,CloudWatch-247,CloudFront,us-east-1,Metadata info 247,,Hydra,Castle
res-248,EC2-248,ECS,us-west-2,Metadata info 248,,Starforce,Stark
res-249,S3-249,RDS,ap-southeast-1,Metadata info 249,Prod,SHIELD,Danvers
res-250,Lambda-250,EC2,us-west-2,Metadata info 250,,SHIELD,Danvers
res-251,S3-251,DynamoDB,eu-west-1,Metadata info 251,Prod,,
res-252,RDS-252,EC2,eu-west-1,Metadata info 252,Prod,Avengers,Murdock
res-253,DynamoDB-253,RDS,ap-southeast-1,Metadata info 253,Prod,Hydra,Danvers
res-254,CloudFront-254,ECS,ap-southeast-1,Metadata info 254,Dev,,Stark
res-255,CloudWatch-255,CloudFront,us-east-1,Metadata info 255,,Avengers,Murdock
res-256,Lambda-256,CloudWatch,us-west-2,Metadata info 256,Prod,,Banner
res-257,EC2-257,CloudFront,us-east-1,Metadata info 257,Test,SHIELD,Danvers
res-258,RDS-258,EC2,us-east-1,Metadata info 258,Test,Starforce,Danvers
res-259,Lambda-259,DynamoDB,us-west-2,Metadata info 259,,Avengers,
res-260,S3-260,Lambda,us-west-2,Metadata info 260,Prod,Starforce,Stark
res-261,CloudFront-261,DynamoDB,us-west-2,Metadata info 261,,Hydra,Murdock
res-262,Lambda-262,Lambda,ap-southeast-1,Metadata info 262,Test,Avengers,Danvers
res-263,CloudWatch-263,RDS,us-east-1,Metadata info 263,,SHIELD,Danvers
res-264,S3-264,CloudFront,us-west-2,Metadata info 264,Prod,SHIELD,Stark
res-265,CloudFront-265,S3,eu-west-1,Metadata info 265,,SHIELD,Banner
res-266,RDS-266,DynamoDB,eu-west-1,Metadata info 266,Test,SHIELD,Stark
res-267,CloudFront-267,Lambda,eu-west-1,Metadata info 267,Test,SHIELD,Stark
res-268,CloudFront-268,Lambda,ap-southeast-1,Metadata info 268,,Avengers,Castle
res-269,EC2-269,CloudFront,us-east-1,Metadata info 269,Prod,Hydra,Murdock
res-270,CloudWatch-270,Lambda,us-west-2,Metadata info 270,Test,Hydra,Castle
res-271,DynamoDB-271,EC2,ap-southeast-1,Metadata info 271,Prod,Avengers,Stark
res-272,Lambda-272,DynamoDB,eu-west-1,Metadata info 272,Dev,SHIELD,Danvers
res-273,Lambda-273,DynamoDB,ap-southeast-1,Metadata info 273,Dev,Hydra,Danvers
res-274,EC2-274,ECS,ap-southeast-1,Metadata info 274,Prod,Starforce,Stark
res-275,S3-275,CloudFront,us-east-1,Metadata info 275,Test,SHIELD,Castle
res-276,DynamoDB-276,CloudFront,ap-southeast-1,Metadata info 276,Test,SHIELD,Danvers
res-277,CloudWatch-277,ECS,us-east-1,Metadata info 277,Prod,Hydra,Murdock
res-278,Lambda-278,S3,ap-southeast-1,Metadata info 278,Dev,SHIELD,Murdock
res-279,CloudWatch-279,Lambda,us-west-2,Metadata info 279,,,Castle
res-280,ECS-280,ECS,us-west-2,Metadata info 280,,Starforce,Murdock
res-281,Lambda-281,EC2,us-west-2,Metadata info 281,Prod,Starforce,
res-282,CloudWatch-282,EC2,eu-west-1,Metadata info 282,Prod,Hydra,
res-283,CloudWatch-283,S3,us-east-1,Metadata info 283,,Avengers,Stark
res-284,ECS-284,CloudFront,us-west-2,Metadata info 284,Prod,Hydra,Stark
res-285,DynamoDB-285,CloudFront,us-west-2,Metadata info 285,Test,SHIELD,Banner
res-286,DynamoDB-286,DynamoDB,ap-southeast-1,Metadata info 286,Dev,Hydra,Banner
res-287,RDS-287,Lambda,us-west-2,Metadata info 287,Prod,SHIELD,Castle
res-288,CloudWatch-288,Lambda,eu-west-1,Metadata info 288,Dev,Starforce,Danvers
res-289,EC2-289,CloudWatch,ap-southeast-1,Metadata info 289,Test,SHIELD,Banner
res-290,CloudFront-290,Lambda,us-east-1,Metadata info 290,Dev,Avengers,Banner
res-291,CloudFront-291,RDS,us-west-2,Metadata info 291,,,Banner
res-292,DynamoDB-292,CloudFront,eu-west-1,Metadata info 292,Prod,SHIELD,
res-293,Lambda-293,RDS,eu-west-1,Metadata info 293,Prod,Starforce,Danvers
res-294,RDS-294,CloudWatch,ap-southeast-1,Metadata info 294,Dev,Avengers,Stark
res-295,S3-295,S3,us-west-2,Metadata info 295,Dev,Hydra,
res-296,RDS-296,Lambda,us-west-2,Metadata info 296,Dev,Avengers,Danvers
res-297,EC2-297,EC2,ap-southeast-1,Metadata info 297,Prod,Hydra,Danvers
res-298,CloudFront-298,ECS,us-east-1,Metadata info 298,,Avengers,Stark
res-299,RDS-299,CloudWatch,ap-southeast-1,Metadata info 299,Test,,Castle
res-300,S3-300,ECS,us-west-2,Metadata info 300,Prod,SHIELD,Murdock
res-301,EC2-301,CloudWatch,ap-southeast-1,Metadata info 301,Dev,Avengers,Stark
res-302,Lambda-302,DynamoDB,us-west-2,Metadata info 302,Dev,Avengers,Stark
res-303,RDS-303,DynamoDB,eu-west-1,Metadata info 303,Dev,Hydra,Murdock
res-304,S3-304,RDS,us-east-1,Metadata info 304,Prod,Avengers,Castle
res-305,ECS-305,S3,us-east-1,Metadata info 305,,SHIELD,Danvers
res-306,EC2-306,DynamoDB,eu-west-1,Metadata info 306,Dev,,Stark
res-307,CloudFront-307,CloudWatch,us-west-2,Metadata info 307,Dev,Starforce,
res-308,Lambda-308,DynamoDB,us-west-2,Metadata info 308,Prod,Starforce,Castle
res-309,EC2-309,RDS,us-west-2,Metadata info 309,Test,Avengers,Murdock
res-310,CloudFront-310,CloudFront,us-east-1,Metadata info 310,,Hydra,Castle
res-311,EC2-311,ECS,us-east-1,Metadata info 311,Prod,SHIELD,Castle
res-312,CloudWatch-312,DynamoDB,ap-southeast-1,Metadata info 312,Test,,Danvers
res-313,EC2-313,Lambda,ap-southeast-1,Metadata info 313,Prod,,Danvers
res-314,DynamoDB-314,Lambda,us-west-2,Metadata info 314,Dev,Hydra,
res-315,EC2-315,CloudFront,us-west-2,Metadata info 315,Prod,Avengers,Castle
res-316,EC2-316,DynamoDB,us-west-2,Metadata info 316,Dev,SHIELD,Castle
res-317,CloudWatch-317,ECS,ap-southeast-1,Metadata info 317,,Hydra,Stark
res-318,DynamoDB-318,ECS,us-west-2,Metadata info 318,Dev,SHIELD,
res-319,CloudFront-319,Lambda,ap-southeast-1,Metadata info 319,,,Danvers
res-320,ECS-320,ECS,us-east-1,Metadata info 320,,SHIELD,Danvers
res-321,Lambda-321,Lambda,eu-west-1,Metadata info 321,Dev,SHIELD,Stark
res-322,CloudFront-322,ECS,us-east-1,Metadata info 322,Dev,Hydra,
res-323,RDS-323,ECS,us-east-1,Metadata info 323,Test,Starforce,
res-324,CloudFront-324,CloudWatch,us-west-2,Metadata info 324,,Avengers,Banner
res-325,DynamoDB-325,Lambda,us-east-1,Metadata info 325,Dev,Starforce,Danvers
res-326,Lambda-326,CloudFront,eu-west-1,Metadata info 326,Prod,,Stark
res-327,CloudWatch-327,ECS,eu-west-1,Metadata info 327,,Avengers,Danvers
